id,alt_name,base_name,alt_address,base_address,city,state,alt_category,base_category,alt_confidence,base_confidence,sample_type,label,reason
1125899911801515,DANCENTER (39879) 6 Personen Ferienhaus in einem Ferienpark in Hanstholm,DANCENTER (39889) 6 Personen Ferienhaus in einem Ferienpark in Hanstholm,VIGSØ BUGT VEJ 1,VIGSØ BUGT VEJ 1,Hanstholm,"",holiday_rental_home,holiday_rental_home,0.77,0.77,conflict,"",""
08f658e0c84ca2c90324e2e139db5dd6,หอผู้ป่วยกึ่งวิกฤต,หอผู้ป่วยกึ่งวิกฤต(IMCU),,,,,medical_center,Health and Medicine > Hospital,0.3941504178272981,1.0,conflict,"",""
08f1fac440b6eaa003c4e8ef9887e5c6,BK Lack GmbH,BK Lack,Industriestraße 15,Industriestr. 15,Fernwald,,automotive_repair,auto_detailing,0.9877528662420382,0.77,conflict,"",""
08f1e84356611acd0351cc53c2f7a806,Effetto Shock snc,Effetto Shok SNC di Foglietta e Cariani,"Via Giovanni Berchet, 2",Via Giovanni Berchet,Foligno,55,hair_salon,Business and Professional Services > Health and Beauty Service > Hair Salon,0.9645127118644068,1.0,conflict,"",""
08f29a199c2de6c403788b26d043babf,"Juris Law Group, P.C.",Juris Law Group,"10215 Santa Monica Blvd., Ste 2",10215 Santa Monica Blvd Ste 2,Century City,CA,online_shop,online_shop,0.77,0.77,conflict,"",""
08f274dac432a46d0350a0c30ee88636,Clarkston High School Natatorium,Clarkston High School,6093 Flemings Lake Rd,6093 Fleming Lake Rd,Clarkston,MI,swimming_pool,Community and Government > Education > Primary and Secondary School > High School,0.6214335421016005,1.0,conflict,"",""
08f5f1c34bc3419903e2d20614543143,The Coffee Corner,The Coffee Corner (Hermitage mall),Lalla Rookhweg,Lalla Rookhweg,Paramaribo,,coffee_shop,"Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop",0.48103896103896104,1.0,conflict,"",""
08f39040ce78ab8a034e94b26de55c37,Sofrapa,Sofrapa - Covilhã,Parque Industrial Covilhã Lote A-5,Parque Industrial Covilhã Lote A-5,,,automotive_repair,oil_and_gas,0.9895134099616858,0.77,conflict,"",""
08f1e8050815ab2d03fffc9c7e965114,Scuola Pubblica Media Mommsen Teodoro,Scuola Pubblica Media Teodoro Mommsen,"Via Teodoro Mommsen, 1",Via Teodoro Mommsen 1,Roma,62,high_school,Community and Government > Education > Primary and Secondary School > High School,0.6214335421016005,1.0,conflict,"",""
08f2f5a201d8650503802c7aa2edad1b,はま寿司 浦和店,はま寿司,南区太田窪2丁目5-7,南区太田窪2-5-7,さいたま市,埼玉県,sushi_restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Sushi Restaurant,0.77,1.0,conflict,"",""
08f64860d3640c34031c4e86f1f57669,อิลิแกรนด์ คลินิก เวชกรรม,อิลิแกรนด์ คลินิก เวชกรรม : Elegrand Medical Clinic,,,,,health_department,Business and Professional Services > Health and Beauty Service,0.3941504178272981,1.0,conflict,"",""
1125899912860477,Headlight,Headlight Therapists and Psychiatric Services Wasilla,1981 E palmer-wasilla Highway Ste 200,1981 E Palmer-Wasilla Highway Ste 200,Wasilla,AK,health_and_medical,health_and_medical,0.77,0.77,conflict,"",""
08fa835d5a864a5903509e47f410055d,13º Batalhão de Bombeiros Militar - SC,13º Batalhão de Bombeiro Militar - Balneário Camboriú,"Alameda dos Estados Policial Luiz Carlos Rosa, 25","Alameda dos Estados Policial Luiz Carlos Rosa, 25 - Estados",Balneário Camboriú,SC,fire_department,Community and Government > Government Building > Law Enforcement and Public Safety > Fire Station,0.7927927927927928,1.0,conflict,"",""
2251799813795942,"Planet Fitness - Manassas, VA",Planet Fitness,7680 Stream Walk Ln,7680 Stream Walk Ln,Manassas,VA,gym,gym,0.77,0.77,conflict,"",""
1125899911801526,DANCENTER (39892) 6 Personen Ferienhaus in einem Ferienpark in Hanstholm,DANCENTER (39905) 6 Personen Ferienhaus in einem Ferienpark in Hanstholm,VIGSØ BUGT VEJ 1,VIGSØ BUGT VEJ 1,Hanstholm,"",holiday_rental_home,holiday_rental_home,0.77,0.77,conflict,"",""
