id,conflict_class,alt_raw,base_raw,alt_digits,base_digits,alt_digit_len,base_digit_len,alt_confidence,base_confidence,confidence_diff,confidence_gap,higher_confidence_side
08f26e859b15cc0a0323c755b218aeb7,alt_only,"[""+19184554333""]",,19184554333,"",11,0,0.9837,1.0,-0.0163,0.0163,base
08f29a4d66d26d9903959dd6a159ac71,alt_only,"[""+526616130215""]",,526616130215,"",12,0,0.9837,1.0,-0.0163,0.0163,base
08f2a10725353a42033a6d2ead5859a2,alt_only,"[""+19299245047""]",,19299245047,"",11,0,0.9837,1.0,-0.0163,0.0163,base
08f2a12050268a530324d17797694ac7,alt_only,"[""+16102537787""]",,16102537787,"",11,0,0.9837,1.0,-0.0163,0.0163,base
08f2a134cd89404003d3bdebaf0660e0,alt_only,"[""+12103452000""]",,12103452000,"",11,0,0.9837,1.0,-0.0163,0.0163,base
08f2a143a2aea428033ac8f069c43517,alt_only,"[""+12035746000""]",,12035746000,"",11,0,0.9837,1.0,-0.0163,0.0163,base
08f2aa650405da4d03ac202ae41b574e,alt_only,"[""+17166460233""]",,17166460233,"",11,0,0.9837,1.0,-0.0163,0.0163,base
08f396cb6912ad000340ccfcbe06ce49,alt_only,"[""+33475462232""]",,33475462232,"",11,0,0.9837,1.0,-0.0163,0.0163,base
08f44a82ab1838a3034910ae3db51e7f,alt_only,"[""+13213272164""]",,13213272164,"",11,0,0.9837,1.0,-0.0163,0.0163,base
08f44ab86941b2c003a278334d573e41,alt_only,"[""+13214494498""]",,13214494498,"",11,0,0.9837,1.0,-0.0163,0.0163,base
08f485bb0805d1b503b342847dc4f71d,alt_only,"[""+526865910428""]",,526865910428,"",12,0,0.9837,1.0,-0.0163,0.0163,base
08f489546c8e4b9b03a5b4c22503cd42,alt_only,"[""+13617281865""]",,13617281865,"",11,0,0.9837,1.0,-0.0163,0.0163,base
08f48a207109565603f5020f2b700fe4,alt_only,"[""+528183339108""]",,528183339108,"",12,0,0.9837,1.0,-0.0163,0.0163,base
08f499096b78cced0379be0c7ed689ef,alt_only,"[""+522411149639""]",,522411149639,"",12,0,0.9837,1.0,-0.0163,0.0163,base
08f4995b820d0700036453215bbd45a3,alt_only,"[""+525546116126""]",,525546116126,"",12,0,0.9837,1.0,-0.0163,0.0163,base
08f4995b926ea6030351c7cdf039096d,alt_only,"[""+525532299835""]",,525532299835,"",12,0,0.9837,1.0,-0.0163,0.0163,base
08f49a2aca01963603f875250041dd50,alt_only,"[""+527551016090""]",,527551016090,"",12,0,0.9837,1.0,-0.0163,0.0163,base
08f49a8381a4d0f303240f2cdfbb374f,alt_only,"[""+523330284289""]",,523330284289,"",12,0,0.9837,1.0,-0.0163,0.0163,base
08f4b60c0a9704c003976d9e50759cd3,alt_only,"[""+81974222222""]",,81974222222,"",11,0,0.9837,1.0,-0.0163,0.0163,base
08f60319aab14340039e512530e823a9,alt_only,"[""+914865263788""]",,914865263788,"",12,0,0.9837,1.0,-0.0163,0.0163,base
08f6d23b1c0e0528036e8005470f0d09,alt_only,"[""+529676774030""]",,529676774030,"",12,0,0.9837,1.0,-0.0163,0.0163,base
08f1f984007324a103006beac17ac2eb,alt_only,"[""+390114814107""]",,390114814107,"",12,0,0.9909,1.0,-0.0091,0.0091,base
08f4995855a6533403ec86ef01b1eb5c,alt_only,"[""+525556732347""]",,525556732347,"",12,0,0.9909,1.0,-0.0091,0.0091,base
08f499daaeaf338203c61a044f43c413,alt_only,"[""+524447934671""]",,524447934671,"",12,0,0.9909,1.0,-0.0091,0.0091,base
08f49b32f4c994410332aedfbe6eba8a,alt_only,"[""+525585318601""]",,525585318601,"",12,0,0.9909,1.0,-0.0091,0.0091,base
08f6505548320400038e09944546175a,alt_only,"[""+60169688028""]",,60169688028,"",11,0,0.9909,1.0,-0.0091,0.0091,base
08f6d231a2d0e8a603781ab4b4091872,alt_only,"[""+529616155754""]",,529616155754,"",12,0,0.9909,1.0,-0.0091,0.0091,base
08f800554892e902035ab8d046512579,alt_only,"[""+558621072200""]",,558621072200,"",12,0,0.9909,1.0,-0.0091,0.0091,base
08fa8a24db31960803821dda60cd93ed,alt_only,"[""+5522992616265""]",,5522992616265,"",13,0,0.9909,1.0,-0.0091,0.0091,base
08f08996aa19640503998575bf5e624f,alt_only,"[""+358401763581""]",,358401763581,"",12,0,0.9963,1.0,-0.0037,0.0037,base
08f195971000eb2903671cb0c6d2e793,alt_only,"[""+441202555402""]",,441202555402,"",12,0,0.9963,1.0,-0.0037,0.0037,base
08f1b99392b6805b035189fa623f348b,alt_only,"[""+17096514180""]",,17096514180,"",11,0,0.9963,1.0,-0.0037,0.0037,base
